Image Path,Base_Lacunarity,DBC_Lacunarity
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_12.png,tensor([[[0.0053]]]),tensor([[[16328.2188]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_13.png,tensor([[[0.0050]]]),tensor([[[16328.2188]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_14.png,tensor([[[0.0063]]]),tensor([[[16328.2188]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_15.png,tensor([[[0.0061]]]),tensor([[[16498.9062]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_1000_ICE-HV_5_11.png,tensor([[[0.0054]]]),tensor([[[16328.2188]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_2500_ETD-HV_10.png,tensor([[[0.0063]]]),tensor([[[16328.2188]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_2500_ICE-HV_10.png,tensor([[[0.0063]]]),tensor([[[16328.2188]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_Bottom of Insert_DC_02052021_5KV_2500_ICE-HV_8.png,tensor([[[0.0072]]]),tensor([[[16328.2188]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_DCs_5KV_12000x_ETD_HV_s5.0_13.6WD_010.png,tensor([[[3.5763e-07]]]),tensor([[[-5620.4346]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_DCs_5KV_1200x_ETD_HV_s5.0_13.6WD_011.png,tensor([[[3.5763e-07]]]),tensor([[[-5620.4346]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Crystalline Silica (CS)\CS_DCs_5KV_1200x_ETD_HV_s5.0_13.6WD_012.png,tensor([[[3.5763e-07]]]),tensor([[[-5620.4346]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD.png,tensor([[[3.5763e-07]]]),tensor([[[-5620.4346]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_002.png,tensor([[[3.5763e-07]]]),tensor([[[-5620.4346]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_003.png,tensor([[[3.5763e-07]]]),tensor([[[-5620.4346]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_004.png,tensor([[[3.5763e-07]]]),tensor([[[-5620.4346]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_005.png,tensor([[[3.5763e-07]]]),tensor([[[-5620.4346]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_006.png,tensor([[[3.5763e-07]]]),tensor([[[-5620.4346]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_007.png,tensor([[[3.5763e-07]]]),tensor([[[-5620.4346]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_008.png,tensor([[[3.5763e-07]]]),tensor([[[-5620.4346]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_009.png,tensor([[[3.5763e-07]]]),tensor([[[-5620.4346]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_010.png,tensor([[[3.5763e-07]]]),tensor([[[-5620.4346]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Isocyanate (IPDI)\IPDI_DCs_5KV_1200x_ETD_HV_5spot_12.3WD_011.png,tensor([[[3.5763e-07]]]),tensor([[[-5620.4346]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Nickel Oxide (NiO)\NiO_Bottom of Insert_DC_02052021_5KV_1200_showing activity_ETD-HV_5_7.png,tensor([[[0.0089]]]),tensor([[[16328.2188]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Nickel Oxide (NiO)\NiO_DCs_5KV_1200x_ETD_HV_s5.0_13.4WD_024.png,tensor([[[3.5763e-07]]]),tensor([[[-5620.4346]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Nickel Oxide (NiO)\NiO_DCs_5KV_1200x_ETD_HV_s5.0_13.4WD_028.png,tensor([[[3.5763e-07]]]),tensor([[[-5620.4346]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Nickel Oxide (NiO)\NiO_DCs_5KV_1200x_ETD_HV_s5.0_13.5WD_031.png,tensor([[[2.9922e-05]]]),tensor([[[12458.3506]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Nickel Oxide (NiO)\NiO_DCs_5KV_1200x_ETD_HV_s5.0_13.5WD_032.png,tensor([[[1.6093e-05]]]),tensor([[[12458.3506]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Silver Nanoparticles (Ag-NP)\Ag-PvP_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_16.png,tensor([[[0.0055]]]),tensor([[[16328.2188]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Silver Nanoparticles (Ag-NP)\Ag-PvP_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_17.png,tensor([[[0.0043]]]),tensor([[[16498.9062]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Silver Nanoparticles (Ag-NP)\Ag-PvP_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_18.png,tensor([[[0.0063]]]),tensor([[[16328.2188]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Silver Nanoparticles (Ag-NP)\Ag-PvP_Bottom of Insert_DC_02052021_5KV_1000_ETD-HV_5_19.png,tensor([[[0.0071]]]),tensor([[[16328.2188]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Silver Nanoparticles (Ag-NP)\Ag-PvP_DCs_5KV_1200x_ETD_HV_s5.0_12.9WD_017.png,tensor([[[3.5763e-07]]]),tensor([[[-5620.4346]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Exposed to Silver Nanoparticles (Ag-NP)\Ag-PvP_DCs_5KV_1200x_ETD_HV_s5.0_13WD_020.png,tensor([[[3.5763e-07]]]),tensor([[[-5620.4346]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Untreated\Untreated_DCs_5KV_1200x_ETD_HV_5spot_12.6wd.png,tensor([[[3.5763e-07]]]),tensor([[[-5620.4346]]])
C:/Users/aksha/Peeples_Lab/SEM_Images_Lacunarity/Datasets/Lung Cells SEM Images_group1_DC_NEW\Lung Cells Untreated\Untreated_DCs_5KV_1200x_ETD_HV_s5.0_13.2WD.png,tensor([[[3.5763e-07]]]),tensor([[[-5620.4346]]])
